Speed,Action
25.0,
25.0,
25.0,
12.778996791476533,4
E,p,i,s,o,d,e,:, ,4
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
13.436031033643246,
E,p,i,s,o,d,e,:, ,1,3
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
10.195724803722253,
E,p,i,s,o,d,e,:, ,2,2
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
15.424015217192501,
E,p,i,s,o,d,e,:, ,3,4
20.8544411731307,4
20.146013943668194,2
20.024952065064255,
20.004264014349108,0
20.00072866988454,
20.000124521110198,
20.000021279192694,
20.000003636363672,
20.00000062141177,
20.000000106191962,
24.145558845016254,3
20.708427232563608,4
20.121061879133876,2
20.020688050805713,
20.003535344480046,0
20.00060414877699,
20.000103241917955,
E,p,i,s,o,d,e,:, ,5,1
25.0,
25.0,
25.0,
13.54149670960111,4
E,p,i,s,o,d,e,:, ,5,5
25.0,
25.0,
25.0,
25.0,
25.0,
9.767756108257364,4
E,p,i,s,o,d,e,:, ,6,1
25.0,
25.0,
25.0,
25.0,
10.195724803722253,
E,p,i,s,o,d,e,:, ,6,6
25.0,
25.0,
