Update,AvgRewHighw,SRHighw,AvgRewMerger,SRMerger
0,34.28736,0,0,0
50,11.84039,0,0,0
100,14.25581,0,0,0
150,18.63516,0,0,0
200,20.06014,0,0,0
250,17.62928,0,0,0
300,10.83497,0,0,0
350,15.98968,0,0,0
400,10.93031,0,0,0
450,19.20383,0,0,0
500,13.29914,0,0,0
550,12.92736,0,0,0
600,17.68535,0,0,0
650,19.57236,0,0,0
700,19.87248,0,0,0
750,19.79787,0,0,0
800,22.59374,0,0,0
850,27.23304,0,0,0
900,19.31523,0,0,0
950,26.89246,0,0,0
1000,21.04468,0,0,0
1050,24.24828,0,0,0
1100,22.64115,0,0,0
1150,18.1514,0,0,0
1200,28.11697,0,0,0
1250,27.69651,0,0,0
1300,23.0301,0,0,0
1350,20.19605,0,0,0
1400,23.44236,0,0,0
1450,24.81647,0,0,0
1500,25.81546,0,0,0
1550,19.63398,0,0,0
1600,24.47062,0,0,0
1650,20.65079,0,0,0
1700,30.31645,0,0,0
1750,23.15509,0,0,0
1800,38.50059,0.4,4.25699,0
1850,39.22189,0.4,6.12936,0.1
1900,30.6326,0,0,0
1950,45.21849,0.4,6.87317,0.2
2000,20.20767,0,0,0
2050,22.10553,0.7,8.37746,0
2100,43.25527,0.4,6.20387,0.4
2150,35.99184,1,5.24746,1
2200,46.88948,0,0,0
2250,50.26112,0,0,0
2300,57.45672,0.8,14.45541,0.2
2350,58.17696,1,15.56404,0.4
2400,50.48596,0.8,14.44002,0.2
2450,55.1076,0.9,18.15995,0.5
2500,56.58757,0.9,13.79064,0
2550,51.39955,0.9,17.33593,0.4
2600,56.2426,1,24.01112,0.9
2650,55.16079,1,26.9436,1
2700,55.14732,1,25.00257,0.9
2750,54.66558,1,26.67975,1
2800,54.06626,1,26.50694,1
2850,54.52042,1,24.44685,0.9
2900,54.15954,1,26.00191,0.9
2950,54.15362,1,26.1061,0.8
3000,53.869,1,24.96598,0.9
3050,54.20456,1,22.6081,0.8
3100,53.6282,1,25.42701,0.9
3150,53.57778,1,27.68221,1
3200,54.02964,1,27.39213,1
3250,53.66419,1,27.0639,0.9
3300,54.00569,1,26.31484,0.6
3350,53.61579,1,26.09913,0.9
3400,53.96372,1,26.80446,1
3450,54.42856,1,19.10351,0.6
3500,54.03938,0.9,23.50325,0.8
3550,54.69304,1,24.41907,0.8
3600,54.14615,1,16.966,0.5
3650,52.28449,0.9,22.70135,0.8
3700,51.93324,0.9,19.89213,0.7
3750,55.72806,1,19.11839,0.6
3800,55.82107,1,25.35435,0.9
3850,56.12211,1,25.09026,0.9
3900,55.97279,1,20.14086,0.2
3950,54.35466,0.9,25.55009,0.4
