Episode,Avg Reward,SuccessRate
0,15.528,0.0
1,17.54,0.0
2,17.2333,0.0
3,26.5766,0.0
4,38.1787,0.02
5,53.5549,0.05
6,56.0733,0.09
7,46.8332,0.13
8,54.3678,0.16
9,84.6511,0.23
10,67.3542,0.27
11,83.7342,0.35
12,86.4022,0.4
13,83.3234,0.45
14,82.53,0.48
15,70.09,0.52
16,86.3741,0.58
17,82.7017,0.59
18,89.07,0.62
19,94.3353,0.64
20,81.6136,0.65
21,79.9035,0.63
22,89.1597,0.65
23,92.96,0.7
24,83.9002,0.7
25,81.6929,0.7
26,78.9225,0.69
27,71.1047,0.65
28,89.4421,0.64
29,86.0214,0.65
30,101.3434,0.67
31,101.7796,0.69
32,101.6059,0.71
33,93.0962,0.72
34,93.6392,0.75
35,90.275,0.77
36,75.5502,0.78
37,80.2527,0.77
38,82.4209,0.78
39,94.2095,0.78
40,87.4316,0.75
41,77.6275,0.7
42,76.8138,0.65
43,71.4211,0.62
44,86.6389,0.6
45,80.7499,0.6
46,86.0496,0.64
47,92.2723,0.63
48,90.0787,0.65
49,83.2757,0.65
50,98.8439,0.67
51,84.9351,0.69
52,84.092,0.72
53,83.2638,0.75
54,91.5354,0.78
55,92.7912,0.79
56,87.8172,0.79
57,100.7061,0.8
58,100.1648,0.82
59,93.8887,0.83
60,80.2144,0.81
61,94.2412,0.82
62,96.2202,0.85
63,100.8589,0.87
64,99.571,0.87
65,96.2184,0.87
66,92.9706,0.86
67,81.8564,0.82
68,99.6725,0.82
69,91.6421,0.82
70,103.6634,0.83
71,89.5976,0.81
72,75.0658,0.75
73,83.5735,0.73
74,72.7573,0.69
75,88.8055,0.68
76,72.6926,0.66
77,83.1359,0.64
78,87.072,0.65
79,93.4059,0.66
80,66.9472,0.64
81,88.936,0.67
82,73.9462,0.65
83,74.0689,0.64
84,102.3575,0.68
85,77.839,0.68
86,77.5107,0.67
87,93.6464,0.67
88,96.8706,0.69
89,78.5441,0.69
90,85.6464,0.7
91,69.3477,0.69
92,101.6714,0.73
93,87.0191,0.69
94,99.4148,0.73
95,79.1354,0.73
96,85.5451,0.72
97,82.6577,0.7
98,94.8619,0.7
99,97.2376,0.72
100,88.6581,0.76
101,86.2933,0.75
102,88.6474,0.74
103,97.4338,0.76
104,90.757,0.77
105,78.0509,0.77
106,85.5297,0.79
107,96.8616,0.8
108,92.5742,0.8
109,92.4912,0.79
110,85.4245,0.77
111,78.9806,0.77
112,86.1023,0.76
113,76.1926,0.73
114,76.8188,0.71
115,88.0588,0.71
116,92.0406,0.71
117,76.0621,0.7
118,85.9986,0.69
119,94.4052,0.7
120,93.1457,0.72
121,92.8075,0.72
122,95.6561,0.74
123,79.9702,0.76
124,94.1381,0.76
125,87.7724,0.74
126,87.777,0.74
127,89.6465,0.76
128,75.1428,0.74
129,89.941,0.73
130,84.4516,0.71
131,64.3446,0.66
132,76.7785,0.64
133,94.1423,0.65
134,81.7696,0.66
135,100.6949,0.66
136,74.7931,0.64
137,80.084,0.64
138,101.5752,0.66
139,93.336,0.72
140,94.64,0.77
141,88.5587,0.78
142,96.2004,0.79
143,74.5055,0.77
144,90.865,0.76
145,82.4355,0.76
146,78.4679,0.75
147,92.9815,0.76
148,93.6864,0.75
149,86.2172,0.74
150,86.0407,0.74
151,101.0226,0.75
152,79.9239,0.76
153,92.6897,0.8
154,87.9504,0.81
155,101.0647,0.85
156,88.3644,0.84
157,82.7761,0.82
158,93.2963,0.83
159,98.9806,0.84
160,87.0348,0.82
161,79.9792,0.82
162,93.2904,0.83
163,79.6009,0.8
164,82.3235,0.76
165,77.4076,0.73
166,74.7867,0.73
167,91.8994,0.71
168,61.4469,0.67
169,95.9151,0.66
170,66.9463,0.61
171,81.792,0.61
172,87.2561,0.64
173,72.1206,0.62
174,80.2074,0.63
175,76.5174,0.61
176,84.5638,0.65
177,84.4949,0.68
178,100.5377,0.73
179,91.102,0.76
180,100.0033,0.78
181,100.9426,0.8
182,100.6567,0.82
183,100.8744,0.88
184,100.469,0.9
185,98.1151,0.92
186,100.1234,0.94
187,84.6952,0.94
188,93.2589,0.93
189,100.891,0.94
190,101.31,0.95
