Episode,Avg Reward,SuccessRate
0,24.1747,0.020833333333333332
10,43.3793,0.069444444
20,85.1276,0.15294117647058825
30,73.9445,0.20202020202020202
40,51.9537,0.25
50,98.5679,0.34
60,111.8349,0.42
70,69.0684,0.45
80,93.6956,0.53
90,82.3842,0.53
100,117.6769,0.56
110,117.8219,0.62
120,93.2121,0.69
130,94.2511,0.72
140,118.0034,0.74
150,107.8366,0.77
160,118.8394,0.84
170,119.2424,0.87
180,109.3152,0.89
190,91.2489,0.88
200,119.624,0.88
210,110.9212,0.89
220,108.9189,0.9
230,119.8508,0.92
240,118.8128,0.92
250,119.3947,0.93
260,101.2458,0.91
270,119.6776,0.91
280,118.9947,0.92
290,109.2135,0.94
300,119.3679,0.94
310,119.3703,0.95
320,119.7926,0.96
330,119.9344,0.96
340,115.9194,0.95
350,120.9927,0.95
360,110.3493,0.95
370,120.9359,0.96
380,118.2704,0.95
390,115.1886,0.95
400,113.687,0.94
410,113.766,0.93
420,114.6058,0.92
430,118.1928,0.91
440,120.3587,0.91
450,111.2834,0.91
460,120.9499,0.92
470,109.7437,0.9
480,121.5876,0.9
490,105.1388,0.9
500,120.8984,0.92
510,115.2028,0.92
520,115.2879,0.91
530,120.2349,0.92
540,120.5391,0.92
550,120.357,0.91
560,119.7243,0.92
570,120.6597,0.93
580,115.7336,0.93
590,120.0788,0.95
600,120.2801,0.95
610,120.819,0.96
620,120.1297,0.96
630,120.2159,0.98
640,113.3199,0.97
650,117.4583,0.96
660,121.2743,0.97
670,116.0242,0.96
680,120.5547,0.96
690,120.853,0.97
700,121.4423,0.97
710,116.0717,0.94
720,116.6681,0.93
730,115.0277,0.92
740,116.566,0.91
750,120.8655,0.93
760,121.1353,0.93
770,120.9041,0.93
780,118.8857,0.93
790,120.4511,0.93
800,121.4406,0.93
810,115.2231,0.93
820,121.0294,0.96
830,122.1408,0.96
840,121.4418,0.97
850,119.5685,0.97
860,111.9912,0.95
870,110.7851,0.92
880,110.0504,0.92
890,121.4952,0.92
